"id","from_state","from_label","trigger","guard","action","to_state","to_label"
"T001","UPGRADE_RETAINED_DATA","App updated (retain data mode)","user launches app","","","APP_LAUNCH","App launch (pre-Room)"
"T002","APP_LAUNCH","App launch (pre-Room)","enter","","Do not init Room yet","BOOT_RESOLVER","BootStateResolver"
"T003","BOOT_RESOLVER","BootStateResolver","start","","Collect filesystem + SharedPreferences + encryption state","READ_BOOT_INPUTS","Read boot inputs (metadata + encryption state + boot flags + DB artifacts)"
"T004","READ_BOOT_INPUTS","Read boot inputs (metadata + encryption state + boot flags + DB artifacts)","resolved","","Evaluate DB artifact presence","DB_ARTIFACTS_EXISTS","DB artifacts found?"
"T004A","DB_ARTIFACTS_EXISTS","DB artifacts found?","resolved","No","Require user DB path choice","DB_INIT_CHOOSER","Show DB Init chooser (Create New / Import Existing)"
"T004A1","DB_INIT_CHOOSER","Show DB Init chooser (Create New / Import Existing)","show","","Await user choice","DB_INIT_CHOOSER_ACTION","User choice on DB Init chooser"
"T004C","DB_INIT_CHOOSER_ACTION","User choice on DB Init chooser","user","Import Existing","Check for existing DB artifacts before import","IMPORT_EXISTING_CHECK","Any existing DB artifacts on disk?"
"T004C_CREATE","DB_INIT_CHOOSER_ACTION","User choice on DB Init chooser","user","Create New","Check for existing DB artifacts before create","CREATE_NEW_EXISTING_CHECK","Any existing DB artifacts on disk?"
"T004D","IMPORT_PICKER","SAF picker for existing DB","show","","Await selection or cancel","IMPORT_PICKER_RESULT","SAF picker result"
"T004D1","IMPORT_PICKER_RESULT","SAF picker result","resolved","No selection","Return to DB init chooser","DB_INIT_CHOOSER","Show DB Init chooser (Create New / Import Existing)"
"T004D2","IMPORT_PICKER_RESULT","SAF picker result","resolved","Selected file/folder","Inspect imported DB format","IMPORT_FORMAT_DETECT","Detect imported DB format"
"T004E","IMPORT_FORMAT_DETECT","Detect imported DB format","resolved","Unknown/corrupt (not usable)","Show safe recovery options","IMPORT_DB_UNUSABLE","Imported DB is not usable (corrupted/unsupported)"
"T004E1","IMPORT_DB_UNUSABLE","Imported DB is not usable (corrupted/unsupported)","show","","Message: DB not usable, select different or create new","IMPORT_DB_UNUSABLE_ACTION","User choice after unusable import DB"
"T004E2","IMPORT_DB_UNUSABLE_ACTION","User choice after unusable import DB","user","Select Different","Return to import picker","IMPORT_PICKER","SAF picker for existing DB"
"T004E3","IMPORT_DB_UNUSABLE_ACTION","User choice after unusable import DB","user","Create New","Exit import path safely","CREATE_NEW_FLOW","Enter Create New DB flow"
"T004E4","CREATE_NEW_FLOW","Enter Create New DB flow","continue","","Open new DB passphrase setup","CREATE_NEW_SETUP_SCREEN","Show passphrase setup for new DB"
"T004E5","CREATE_NEW_SETUP_SCREEN","Show passphrase setup for new DB","submit","","Validate new DB passphrase setup","CREATE_NEW_SETUP_RESULT","New DB passphrase submission valid?"
"T004E5A","CREATE_NEW_SETUP_RESULT","New DB passphrase submission valid?","resolved","No / Invalid","Stay on create-new setup until valid passphrase is provided","CREATE_NEW_SETUP_SCREEN","Show passphrase setup for new DB"
"T004E5B","CREATE_NEW_SETUP_RESULT","New DB passphrase submission valid?","resolved","Yes / Valid","","CREATE_NEW_SETUP_SUCCESS","New DB passphrase setup success"
"T004E6","CREATE_NEW_SETUP_SUCCESS","New DB passphrase setup success","resolved","Success","Create encrypted DB with configured passphrase","CREATE_NEW_DB","Create new encrypted DB"
"T004E7","CREATE_NEW_DB","Create new encrypted DB","complete","Success","","CREATE_NEW_BOOT_STATE","Update metadata + boot flags for new DB"
"T004E8","CREATE_NEW_BOOT_STATE","Update metadata + boot flags for new DB","complete","","Open Room on newly created DB","CREATE_NEW_INIT_ROOM","Init Room (new DB ready)"
"T004E9","CREATE_NEW_INIT_ROOM","Init Room (new DB ready)","complete","","Clean up temp backup folder if present then start runtime","CREATE_NEW_CLEANUP_TEMP_BACKUP","Delete payanam_temp_backup folder on success (no-op if folder absent)"
"T004F0","IMPORT_FORMAT_DETECT","Detect imported DB format","resolved","Plaintext detected","Ask user for a new passphrase to encrypt imported DB","IMPORT_PLAINTEXT_DETECTED","Plaintext DB detected for import"
"T004F0A","IMPORT_PLAINTEXT_DETECTED","Plaintext DB detected for import","show","","Prompt for new import-encryption passphrase","IMPORT_PLAINTEXT_PASS_DECISION","User provides new passphrase for plaintext import?"
"T004F0B","IMPORT_PLAINTEXT_PASS_DECISION","User provides new passphrase for plaintext import?","user","No / Cancel","Return to DB init chooser","DB_INIT_CHOOSER","Show DB Init chooser (Create New / Import Existing)"
"T004F0C","IMPORT_PLAINTEXT_PASS_DECISION","User provides new passphrase for plaintext import?","user","Yes / Provided valid passphrase","Proceed with copy + encrypt import","IMPORT_PLAINTEXT_COPY_ENCRYPT","Copy + encrypt plaintext DB using new passphrase"
"T004F0D","IMPORT_PLAINTEXT_COPY_ENCRYPT","Copy + encrypt plaintext DB using new passphrase","complete","","Evaluate plaintext import result","IMPORT_PLAINTEXT_RESULT","Plaintext import + encrypt success?"
"T004F0E","IMPORT_PLAINTEXT_RESULT","Plaintext import + encrypt success?","resolved","Yes","Imported DB encrypted and copied successfully","IMPORT_PREP_BOOT_STATE","Configure encryption with import passphrase + update metadata and boot flags after import"
"T004F0F","IMPORT_PLAINTEXT_RESULT","Plaintext import + encrypt success?","resolved","No","Show import failure options","IMPORT_PLAINTEXT_FAILED","Plaintext DB import failed"
"T004F0G","IMPORT_PLAINTEXT_FAILED","Plaintext DB import failed","show","","Offer retry, import different, create new, or cancel","IMPORT_PLAINTEXT_FAILED_ACTION","User choice after plaintext import failure"
"T004F0H","IMPORT_PLAINTEXT_FAILED_ACTION","User choice after plaintext import failure","user","Retry","","IMPORT_PLAINTEXT_DETECTED","Plaintext DB detected for import"
"T004F0I","IMPORT_PLAINTEXT_FAILED_ACTION","User choice after plaintext import failure","user","Import Different","","IMPORT_PICKER","SAF picker for existing DB"
"T004F0J","IMPORT_PLAINTEXT_FAILED_ACTION","User choice after plaintext import failure","user","Create New","","CREATE_NEW_FLOW","Enter Create New DB flow"
"T004F0K","IMPORT_PLAINTEXT_FAILED_ACTION","User choice after plaintext import failure","user","Cancel","Back to DB init chooser","DB_INIT_CHOOSER","Show DB Init chooser (Create New / Import Existing)"
"T004F","IMPORT_FORMAT_DETECT","Detect imported DB format","resolved","Encrypted detected","Proceed with encrypted import flow","IMPORT_ENCRYPTED_DETECTED","Encrypted DB detected"
"T004G","IMPORT_ENCRYPTED_DETECTED","Encrypted DB detected","continue","","Collect passphrase for imported DB","IMPORT_PASS_PROMPT","Ask passphrase for encrypted import"
"T004H","IMPORT_PASS_PROMPT","Ask passphrase for encrypted import","submit","","Verify imported DB passphrase","IMPORT_PASS_RESULT","Imported DB passphrase valid?"
"T004H1","IMPORT_PASS_RESULT","Imported DB passphrase valid?","resolved","Yes","Passphrase verified","IMPORT_PASS_OK","Imported DB passphrase verified"
"T004H2","IMPORT_PASS_RESULT","Imported DB passphrase valid?","resolved","No","Show invalid passphrase options","IMPORT_PASS_INVALID","Imported DB passphrase invalid"
"T004H3","IMPORT_PASS_INVALID","Imported DB passphrase invalid","show","","Allow retry, import different, create new, or cancel","IMPORT_PASS_INVALID_ACTION","User choice after invalid imported passphrase"
"T004H4","IMPORT_PASS_INVALID_ACTION","User choice after invalid imported passphrase","user","Retry","","IMPORT_PASS_PROMPT","Ask passphrase for encrypted import"
"T004H5","IMPORT_PASS_INVALID_ACTION","User choice after invalid imported passphrase","user","Import Different","","IMPORT_PICKER","SAF picker for existing DB"
"T004H6","IMPORT_PASS_INVALID_ACTION","User choice after invalid imported passphrase","user","Create New","","CREATE_NEW_FLOW","Enter Create New DB flow"
"T004H7","IMPORT_PASS_INVALID_ACTION","User choice after invalid imported passphrase","user","Cancel","Back to DB init chooser","DB_INIT_CHOOSER","Show DB Init chooser (Create New / Import Existing)"
"T004I","IMPORT_PASS_OK","Imported DB passphrase verified","resolved","Success","Copy encrypted DB artifacts into app storage","IMPORT_COPY_ENCRYPTED_DB","Copy imported encrypted DB artifacts"
"T004J","IMPORT_COPY_ENCRYPTED_DB","Copy imported encrypted DB artifacts","complete","","Evaluate encrypted import copy result","IMPORT_COPY_ENCRYPTED_RESULT","Encrypted DB copy/import success?"
"T004J1","IMPORT_COPY_ENCRYPTED_RESULT","Encrypted DB copy/import success?","resolved","Yes","","IMPORT_PREP_BOOT_STATE","Configure encryption with import passphrase + update metadata and boot flags after import"
"T004J2","IMPORT_COPY_ENCRYPTED_RESULT","Encrypted DB copy/import success?","resolved","No","Show encrypted import failure recovery","IMPORT_COPY_ENCRYPTED_FAILED","Encrypted DB import copy failed"
"T004J3","IMPORT_COPY_ENCRYPTED_FAILED","Encrypted DB import copy failed","show","","Offer retry copy, import different, create new, or cancel","IMPORT_COPY_ENCRYPTED_FAILED_ACTION","User choice after encrypted import copy failure"
"T004J4","IMPORT_COPY_ENCRYPTED_FAILED_ACTION","User choice after encrypted import copy failure","user","Retry","","IMPORT_COPY_ENCRYPTED_DB","Copy imported encrypted DB artifacts"
"T004J5","IMPORT_COPY_ENCRYPTED_FAILED_ACTION","User choice after encrypted import copy failure","user","Import Different","","IMPORT_PICKER","SAF picker for existing DB"
"T004J6","IMPORT_COPY_ENCRYPTED_FAILED_ACTION","User choice after encrypted import copy failure","user","Create New","","CREATE_NEW_FLOW","Enter Create New DB flow"
"T004J7","IMPORT_COPY_ENCRYPTED_FAILED_ACTION","User choice after encrypted import copy failure","user","Cancel","Back to DB init chooser","DB_INIT_CHOOSER","Show DB Init chooser (Create New / Import Existing)"
"T004K","IMPORT_PREP_BOOT_STATE","Configure encryption with import passphrase + update metadata and boot flags after import","continue","","Resume migration gate with active import session","MIGRATION_CHECK","Check migration needed"
"T005","DB_ARTIFACTS_EXISTS","DB artifacts found?","resolved","Yes","Read metadata","METADATA_READ_OK","Metadata file readable?"
"T006","METADATA_READ_OK","Metadata file readable?","resolved","Yes","Validate metadata schemaVersion","METADATA_SCHEMA_VALID","Metadata schemaVersion status"
"T006A","METADATA_READ_OK","Metadata file readable?","resolved","No","Classify metadata/sidecar issue type","DB_ISSUE_IDENTIFIED","Classify DB issue (metadata/boot checks)"
"T007","METADATA_SCHEMA_VALID","Metadata schemaVersion status","resolved","Supported","Check health flag","METADATA_HEALTHY","Metadata isHealthy?"
"T007A","METADATA_SCHEMA_VALID","Metadata schemaVersion status","resolved","Invalid/corrupt","Classify schema/metadata issue type","DB_ISSUE_IDENTIFIED","Classify DB issue (metadata/boot checks)"
"T007B","METADATA_SCHEMA_VALID","Metadata schemaVersion status","resolved","Higher than app supported","Classify DB version compatibility issue","DB_ISSUE_IDENTIFIED","Classify DB issue (metadata/boot checks)"
"T007C","METADATA_SCHEMA_VALID","Metadata schemaVersion status","resolved","Lower than minimum supported","Classify DB version compatibility issue","DB_ISSUE_IDENTIFIED","Classify DB issue (metadata/boot checks)"
"T008","METADATA_HEALTHY","Metadata isHealthy?","resolved","Yes","Check encrypted flag","DB_IS_ENCRYPTED","Metadata isEncrypted?"
"T008A","METADATA_HEALTHY","Metadata isHealthy?","resolved","No","Classify health/metadata issue type","DB_ISSUE_IDENTIFIED","Classify DB issue (metadata/boot checks)"
"T008B","DB_ISSUE_IDENTIFIED","Classify DB issue (metadata/boot checks)","resolved","Encrypted metadata corruption (repairable/resettable)","Show repair/reset/import/create options","DB_ISSUE_METADATA_CORRUPT","Encrypted DB metadata appears corrupted"
"T008B1","DB_ISSUE_METADATA_CORRUPT","Encrypted DB metadata appears corrupted","show","","Present repair/import/create/reset choices","DB_ISSUE_ACTION","User choice after metadata corruption issue"
"T008B2","DB_ISSUE_IDENTIFIED","Classify DB issue (metadata/boot checks)","resolved","Schema irreparable / invalid","Show import/create recovery options","DB_ISSUE_SCHEMA_IRREPARABLE","DB schema is invalid/corrupt and cannot be repaired safely"
"T008B3","DB_ISSUE_SCHEMA_IRREPARABLE","DB schema is invalid/corrupt and cannot be repaired safely","show","","Prompt import different or create new","DB_ISSUE_SCHEMA_IRREPARABLE_ACTION","User choice after schema-irreparable issue"
"T008B4","DB_ISSUE_SCHEMA_IRREPARABLE_ACTION","User choice after schema-irreparable issue","user","Import Different","","IMPORT_PICKER","SAF picker for existing DB"
"T008B5","DB_ISSUE_SCHEMA_IRREPARABLE_ACTION","User choice after schema-irreparable issue","user","Create New","","DEL_SRC_ISSUE_SCHEMA_IRREPARABLE","Set delete-confirm source = schema irreparable issue"
"T008B6","DB_ISSUE_IDENTIFIED","Classify DB issue (metadata/boot checks)","resolved","DB version too old (unsupported)","Show import/create options","DB_ISSUE_TOO_OLD","DB schema is older than minimum supported version"
"T008B7","DB_ISSUE_TOO_OLD","DB schema is older than minimum supported version","show","","Prompt import different or create new","DB_ISSUE_TOO_OLD_ACTION","User choice after unsupported old DB version"
"T008B8","DB_ISSUE_TOO_OLD_ACTION","User choice after unsupported old DB version","user","Import Different","","IMPORT_PICKER","SAF picker for existing DB"
"T008B9","DB_ISSUE_TOO_OLD_ACTION","User choice after unsupported old DB version","user","Create New","","DEL_SRC_ISSUE_TOO_OLD","Set delete-confirm source = unsupported old DB issue"
"T008B10","DB_ISSUE_IDENTIFIED","Classify DB issue (metadata/boot checks)","resolved","DB version too new (update app required)","Show update/import/create options","DB_ISSUE_TOO_NEW","DB schema is newer than app supports"
"T008B11","DB_ISSUE_TOO_NEW","DB schema is newer than app supports","show","","Prompt update app, import different, or create new","DB_ISSUE_TOO_NEW_ACTION","User choice after newer-than-supported DB"
"T008B12","DB_ISSUE_TOO_NEW_ACTION","User choice after newer-than-supported DB","user","Update App","Handoff to app update requirement","APP_UPDATE_REQUIRED","END: Update app required (DB schema newer than supported)"
"T008B13","DB_ISSUE_TOO_NEW_ACTION","User choice after newer-than-supported DB","user","Import Different","","IMPORT_PICKER","SAF picker for existing DB"
"T008B14","DB_ISSUE_TOO_NEW_ACTION","User choice after newer-than-supported DB","user","Create New","","DEL_SRC_ISSUE_TOO_NEW","Set delete-confirm source = newer-than-supported DB issue"
"T008B15","DB_ISSUE_IDENTIFIED","Classify DB issue (metadata/boot checks)","resolved","Metadata sidecar missing/unreadable","Show import/create options","DB_ISSUE_SIDECAR_MISSING","Metadata/sidecar missing or unreadable"
"T008B16","DB_ISSUE_SIDECAR_MISSING","Metadata/sidecar missing or unreadable","show","","Prompt import different or create new","DB_ISSUE_SIDECAR_MISSING_ACTION","User choice after sidecar metadata issue"
"T008B17","DB_ISSUE_SIDECAR_MISSING_ACTION","User choice after sidecar metadata issue","user","Import Different","","IMPORT_PICKER","SAF picker for existing DB"
"T008B18","DB_ISSUE_SIDECAR_MISSING_ACTION","User choice after sidecar metadata issue","user","Create New","","DEL_SRC_ISSUE_SIDECAR_MISSING","Set delete-confirm source = sidecar metadata issue"
"T008C","DB_ISSUE_ACTION","User choice after metadata corruption issue","user","Attempt Repair","","DB_REPAIR_ATTEMPT","Attempt DB/metadata repair (if supported)"
"T008D","DB_ISSUE_ACTION","User choice after metadata corruption issue","user","Import Different","Switch to import existing flow","IMPORT_PICKER","SAF picker for existing DB"
"T008E","DB_ISSUE_ACTION","User choice after metadata corruption issue","user","Create New","","DEL_SRC_DB_ISSUE_FLOW","Set delete-confirm source = metadata-corruption issue flow"
"T008F","DB_REPAIR_ATTEMPT","Attempt DB/metadata repair (if supported)","complete","","Evaluate repair result","DB_REPAIR_RESULT","Repair successful?"
"T008G","DB_REPAIR_RESULT","Repair successful?","resolved","Yes","Re-run boot checks after repair","BOOT_RESOLVER","BootStateResolver"
"T008H","DB_REPAIR_RESULT","Repair successful?","resolved","No","Show recovery options","DB_REPAIR_FAILED","Repair failed or not fixable"
"T008I","DB_REPAIR_FAILED","Repair failed or not fixable","show","","Prompt reset / import different / create new","DB_REPAIR_FAILED_ACTION","User choice after repair failure"
"T008J","DB_REPAIR_FAILED_ACTION","User choice after repair failure","user","Import Different","","IMPORT_PICKER","SAF picker for existing DB"
"T008K","DB_REPAIR_FAILED_ACTION","User choice after repair failure","user","Create New","","DEL_SRC_DB_REPAIR_FAILED","Set delete-confirm source = repair failed flow"
"T008L","DB_REPAIR_FAILED_ACTION","User choice after repair failure","user","Forgot Passphrase Reset","Enter destructive reset confirmation flow","RESET_SRC_METADATA_REPAIR","Set reset source = metadata repair"
"T008L1","RESET_SRC_METADATA_REPAIR","Set reset source = metadata repair","continue","","","RESET_CONFIRM_SCREEN","Forgot passphrase reset confirmation (deletes all local DB data)"
"T008L2","RESET_CONFIRM_SCREEN","Forgot passphrase reset confirmation (deletes all local DB data)","show","","Await destructive reset confirmation","RESET_CONFIRM_DECISION","Confirm reset?"
"T008L3","RESET_CONFIRM_DECISION","Confirm reset?","user","No","Return based on reset source","RESET_CANCEL_ROUTE","Return by reset source"
"T008L4","RESET_CANCEL_ROUTE","Return by reset source","resolved","Metadata repair","Return to repair-failure recovery choices","DB_REPAIR_FAILED_ACTION","User choice after repair failure"
"T008L5","RESET_CONFIRM_DECISION","Confirm reset?","user","Yes","Delete local DB and reset encryption state","RESET_DELETE_ALL","Delete DB artifacts + metadata + reset encryption state"
"T008L6","RESET_DELETE_ALL","Delete DB artifacts + metadata + reset encryption state","complete","","Route post-reset based on reset source","RESET_POST_DELETE_ROUTE","Route after reset delete by source"
"T008L7","RESET_TO_CREATE_NEW","Handoff to fresh Create New DB flow","continue","","","CREATE_NEW_FLOW","Enter Create New DB flow"
"T009","DB_IS_ENCRYPTED","Metadata isEncrypted?","resolved","Yes","Check boot completion flag","INIT_COMPLETED_TRUE","database_init_completed?"
"T009A","DB_IS_ENCRYPTED","Metadata isEncrypted?","resolved","No","Show plaintext DB handling choices","PLAINTEXT_DB_FOUND","Local DB found but unencrypted (plaintext)"
"T009B","PLAINTEXT_DB_FOUND","Local DB found but unencrypted (plaintext)","show","","Offer encrypt existing, import different, or create new","PLAINTEXT_DB_ACTION","User choice for plaintext local DB"
"T009C","PLAINTEXT_DB_ACTION","User choice for plaintext local DB","user","Encrypt Existing","","PLAINTEXT_ENCRYPT_SETUP_SCREEN","Ask passphrase to encrypt existing local DB"
"T009D","PLAINTEXT_DB_ACTION","User choice for plaintext local DB","user","Import Different","","IMPORT_PICKER","SAF picker for existing DB"
"T009E","PLAINTEXT_DB_ACTION","User choice for plaintext local DB","user","Create New","","DEL_SRC_PLAINTEXT_DB","Set delete-confirm source = plaintext local DB flow"
"T009F","PLAINTEXT_ENCRYPT_SETUP_SCREEN","Ask passphrase to encrypt existing local DB","submit","","Validate passphrase setup for local plaintext DB","PLAINTEXT_ENCRYPT_SETUP_SUCCESS","Passphrase setup for plaintext DB succeeded"
"T009G","PLAINTEXT_ENCRYPT_SETUP_SUCCESS","Passphrase setup for plaintext DB succeeded","resolved","Success","Encrypt plaintext DB in place/copy","PLAINTEXT_ENCRYPT_DB","Encrypt existing local DB with new passphrase"
"T009H","PLAINTEXT_ENCRYPT_DB","Encrypt existing local DB with new passphrase","complete","","Evaluate local plaintext-encryption result","PLAINTEXT_ENCRYPT_RESULT","Encrypt existing plaintext DB success?"
"T009H1","PLAINTEXT_ENCRYPT_RESULT","Encrypt existing plaintext DB success?","resolved","Yes","Update metadata + session for newly encrypted local DB","PLAINTEXT_ENCRYPT_DONE","Plaintext DB encrypted successfully"
"T009H2","PLAINTEXT_ENCRYPT_RESULT","Encrypt existing plaintext DB success?","resolved","No","Show local plaintext encryption failure","PLAINTEXT_ENCRYPT_FAILED","Encrypt existing plaintext DB failed"
"T009H3","PLAINTEXT_ENCRYPT_FAILED","Encrypt existing plaintext DB failed","show","","Offer retry, import different, or create new","PLAINTEXT_ENCRYPT_FAILED_ACTION","User choice after plaintext DB encryption failure"
"T009H4","PLAINTEXT_ENCRYPT_FAILED_ACTION","User choice after plaintext DB encryption failure","user","Retry","","PLAINTEXT_DB_ACTION","User choice for plaintext local DB"
"T009H5","PLAINTEXT_ENCRYPT_FAILED_ACTION","User choice after plaintext DB encryption failure","user","Import Different","","IMPORT_PICKER","SAF picker for existing DB"
"T009H6","PLAINTEXT_ENCRYPT_FAILED_ACTION","User choice after plaintext DB encryption failure","user","Create New","","DEL_SRC_PLAINTEXT_ENCRYPT_FAILED","Set delete-confirm source = plaintext encryption failure"
"T009I","PLAINTEXT_ENCRYPT_DONE","Plaintext DB encrypted successfully","continue","","Continue boot flow with encrypted DB","INIT_COMPLETED_TRUE","database_init_completed?"
"T010","INIT_COMPLETED_TRUE","database_init_completed?","resolved","Yes","DB init confirmed; every cold boot requires auth (no session-active bypass after restartProcess)","AUTH_UNLOCK_SCREEN","Passphrase unlock screen - shows payanam.db last-modified and file size from filesystem (no decryption needed)"
"T010A","INIT_COMPLETED_TRUE","database_init_completed?","resolved","No","Show existing DB found but unfinalized options","DB_FOUND_UNFINALIZED","DB found but setup not finalized"
"T010B","DB_FOUND_UNFINALIZED","DB found but setup not finalized","show","","Offer use existing, import different, or create new","DB_FOUND_UNFINALIZED_ACTION","User choice for unfinalized existing DB"
"T010C","DB_FOUND_UNFINALIZED_ACTION","User choice for unfinalized existing DB","user","Use Existing","","FINALIZE_EXISTING_DB_SELECTION","Mark existing DB as selected/finalized"
"T010D","DB_FOUND_UNFINALIZED_ACTION","User choice for unfinalized existing DB","user","Import Different","","IMPORT_PICKER","SAF picker for existing DB"
"T010E","DB_FOUND_UNFINALIZED_ACTION","User choice for unfinalized existing DB","user","Create New","","DEL_SRC_UNFINALIZED_DB","Set delete-confirm source = unfinalized DB flow"
"T010F","FINALIZE_EXISTING_DB_SELECTION","Mark existing DB as selected/finalized","complete","","Persist database_init_completed=true; proceed to auth","AUTH_UNLOCK_SCREEN","Passphrase unlock screen - shows payanam.db last-modified and file size from filesystem (no decryption needed)"
"T013F","RESET_SRC_UNLOCK_LOCKOUT","Set reset source = unlock lockout","continue","","","RESET_CONFIRM_SCREEN","Forgot passphrase reset confirmation (deletes all local DB data)"
"T013G","RESET_CANCEL_ROUTE","Return by reset source","resolved","Unlock lockout","Return to auth unlock screen","AUTH_UNLOCK_SCREEN","Passphrase unlock screen - shows payanam.db last-modified and file size from filesystem (no decryption needed)"
"T015","MIGRATION_CHECK","Check migration needed","enter","","Compare current DB schema with app target schema","MIGRATION_REQUIRED","Schema migration needed?"
"T016","MIGRATION_REQUIRED","Schema migration needed?","resolved","Yes","Show upgrade UI","MIGRATION_SCREEN","Show DB schema upgrade screen"
"T016A","MIGRATION_REQUIRED","Schema migration needed?","resolved","No","Schema already current","NO_MIGRATION_REQUIRED","Schema already current (no migration needed)"
"T016B","NO_MIGRATION_REQUIRED","Schema already current (no migration needed)","continue","","Room already open via DBSM; finalize app readiness","INIT_ROOM","DB session confirmed ready (Room opened by DatabaseSessionManager after auth; this step finalizes app readiness)"
"T017","MIGRATION_SCREEN","Show DB schema upgrade screen","show","","Await migrate or cancel","MIGRATION_ACTION","User choice on migration screen"
"T017A","MIGRATION_ACTION","User choice on migration screen","user","Cancel","DB cannot open until upgraded","MIGRATION_DEFERRED","Migration deferred (DB cannot open until upgraded)"
